Signature type,Signature ID,Signature label,Gene symbol,Role / marker category,Source category,Scoring use,Notes
Postbiotic-related host axis,SCFA_axis,SCFA,ACADS,Short-chain fatty-acid and mitochondrial metabolic node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,ACADSB,Short-chain fatty-acid and mitochondrial metabolic node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,ACAT1,Short-chain fatty-acid and mitochondrial metabolic node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,ECHS1,Short-chain fatty-acid and mitochondrial metabolic node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,FFAR2,SCFA-sensing GPCR / receptor node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,FFAR3,SCFA-sensing GPCR / receptor node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,HADH,Short-chain fatty-acid and mitochondrial metabolic node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,HADHB,Short-chain fatty-acid and mitochondrial metabolic node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,HCAR2,SCFA-sensing GPCR / receptor node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
Postbiotic-related host axis,SCFA_axis,SCFA,HDAC1,SCFA-sensitive epigenetic regulation node,"Curated from KEGG, Reactome, MSigDB and CRC/postbiotic literature; harmonised to HGNC symbols and fixed before downstream scoring",Used to compute postbiotic-related axis scores,Expression z-standardized across samples; axis score calculated as mean z-score across available genes
